,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
130,"Please note this message may contain information that some may find upsetting. 
 On 06-10-2022 03:00:00, a burglary occurred at Strawberry Canyon Recreation. 
 On 06/10/22, at about 0300 hours, a burglary occurred at Strawberry Canyon Recreation. Two unknown individuals forced entry into a structure on site and stole property from inside.",Burglary at Strawberry Canyon Recreation,"Jun 10, 2022 03:56:52 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Address / Specific Named,Memorable detail,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
131,"UC Berkeley WarnMe: AVOID THE AREA of Clark Kerr Campus Building 12 until further notice 06- 13-202223:35:24. 
 Suspicious Circumstance. Please avoid the area",UC Berkeley WarnMe: AVOID THE AREA of Clark Kerr Campus Building 1206-13-202223:35:24,"Jun 13, 2022 23:35:24 PDT",Emergency Notification,None,None,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
132,All Clear at CKC Building 12,Community Message -All Clear at CKC Building 12,"Jun 14, 2022 06:53:22 PDT",All Clear,None,None,Intersection,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
133,"Please note this message may contain information that some may find upsetting. 
 On 06-15-2022 11:50:00, a burglary occurred at Weill Hall. 
 Two unknown individuals entered at least two rooms and stole a laptop.",Burglary at Weill Hall,"Jun 15, 2022 16:13:50 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral",Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none
134,"Please note this message may contain information that some may find upsetting. 
 On 06-28-2022 19:30:00, a robbery occurred at Spieker Plaza. 
 attempted robbery by threat of a gun",Violent Crime Reported at Spieker Plaza - Please note this message may contain information that some may find upsetting.,"Jun 28, 2022 22:44:41 PDT",Timely Warning ,Robbery,None,Block,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
135,"Please note this message may contain information that some may find upsetting. 
 On 07-01-2022 20:50:00, a robbery occurred at Little League Baseball Fields, University Village, Albany (UVA). 
 On 7/1/22 at approximately 2055 hours, a juvenile victim was with a large group of other juveniles at the Little League baseball fields at UVA. Two suspects from the group robbed the victim via threats of a gun. The suspects took the victim's backpack and contents and left the area. 
 UCPD case #22-01392","Violent Crime Reported at Little League Baseball Fields, University Village, Albany (UVA) - Please note this message may contain information that some may find upsetting.","Jul 01, 2022 23:14:57 PDT",Timely Warning ,Robbery,None,Address / Specific Named,Reconstructed Scenario,Memorable detail,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral",Address / Specific Named,Touch ,Reconstructed Scenario,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral"
136,Community Message - Grizzly Peak Blvd closed July 3rd and 4th. Centennial Dr. closed July 4th.,Community Message - July 3rd and 4th Road Closures,"Jul 01, 2022 11:43:21 PDT",Community Advisory ,None,None,Radius / Area,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none,Radius / Area,none,none,none,none,Radius / Area,none,none,none,none
137,"Please note this message may contain information that some may find upsetting. 
 On 07-01-2022 07:00:00, a burglary occurred at César Chavez student center bicycle shop UC Berkeley campus. 
 A burglary occurred at the César Chavez student center bicycle shop on the UC Berkeley campus between 06/27/2022 7pm - 07/01/2022 7am. UCPD case #22- 01391",Burglary at César Chavez student center bicycle shop UC Berkeley campus,"Jul 01, 2022 20:31:28 PDT",Timely Warning ,Burglary,None,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,none,none,none,none,Address / Specific Named,Memorable detail,none,none,none
138,"Please note this message may contain information that some may find upsetting. 
 On 07-14-2022 14:00:00, an aggravated assault occurred at People's Park. 
 The victim was hit repeatedly with a metal baseball bat while located inside people's park. The incident was unprovoked. UCPD #22-01477",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Jul 14, 2022 16:44:32 PDT",Timely Warning ,Aggravated Assault,None,Block,Touch ,Reconstructed Scenario,none,none,Address / Specific Named,People's Park,none,"No Race, Gender Neutral",none,Address / Specific Named,People's Park,Memorable detail,none,none,Address / Specific Named,People's Park,Touch ,"No Race, Gender Neutral","No Race, Gender Neutral"
139,"Please note this message may contain information that some may find upsetting. 
 On 07-17-2022 12:25:00, a hate crime via shove was to reported to have occurred at UC Berkeley Golden Bear Cafe. The suspect fled the scene and is described as an African-American male, late 20's to 30, approximately 6 feet tall, thin build, wearing a navy blue crew neck shirt and black jeans with a black baseball cap.",Violent Crime Reported at UC Berkeley Golden Bear Cafe - Please note this message may contain information that some may find upsetting.,"Jul 17, 2022 13:56:34 PDT",Timely Warning ,Hate Crimes: Primary,None,Address / Specific Named,Touch ,Reconstructed Scenario,none,"Race, Gender",Address / Specific Named,Reconstructed Scenario,Touch ,none,"Race, Gender",Address / Specific Named,Touch ,none,none,"Race, Gender",Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","Race, Gender"
140,"Please note this message may contain information that some may find upsetting. 
 On 07-28-2022 11:55:00, a burglary occurred at Hildebrand Hall. 
 On 7/28/22 at approximately 1355 hours, a burglary occurred on the 3rd floor of Hildebrand Hall. The suspect was seen wandering the hallways and stole several electronic items from a lab. The suspect was described as being in his 20-30's, approx 6'0, 180 lbs, tattoo on one arm, wearing a ""basketball suit"" possibly a yellow jersey,. 
 Case #22-01583",Burglary at Hildebrand Hall,"Jul 28, 2022 14:55:38 PDT",Timely Warning ,Burglary,None,Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,none,none,"Gender, No Race",Address / Specific Named,Memorable detail,none,none,"Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,none,"Gender, No Race"
141,"UC Berkeley WarnMe: AVOID THE AREA of People's Park until further notice 08-03- 202211:45:26. 
 Police activity is ongoing. Please avoid the area until further notice.",UC Berkeley WarnMe: AVOID THE AREA of People's Park08-03- 202211:45:26,"Aug 03, 2022 11:45:26 PDT",Emergency Notification,Incident: Police Activity,None,Block,Safety Instructions / Tips,People's Park,,,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none
142,"UC Berkeley WarnMe: AVOID THE AREA of People's Park until further notice 08-03- 202213:56:14. 
 Police activity has concluded in People's Park.",UC Berkeley WarnMe: AVOID THE AREA of People's Park08-03- 202213:56:14,"Aug 03, 2022 13:56:14 PDT",All Clear,Incident: Police Activity,None,Block,Safety Instructions / Tips,People's Park,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,Safety Instructions / Tips,none,none
143,"Please note this message may contain information that some may find upsetting. 
 On 08-03-2022 02:26:00, attempted aggravated assaults were reported at People's Park. 
 Four attempted aggravated assaults via thrown objects were reported near People's Park between approximately 2:26 and 4:30 am. Rocks, bottles, and glass were thrown by protesters at crews working at the park. Police activity is ongoing; please avoid the immediate area of People’s Park.",Violent Crime Reported at People's Park - Please note this message may contain information that some may find upsetting.,"Aug 03, 2022 08:41:25 PDT",Timely Warning ,Aggravated Assault,None,Block,People's Park,Reconstructed Scenario,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,none,none,Address / Specific Named,People's Park,none,none,none,Address / Specific Named,People's Park,Reconstructed Scenario,none,none
144,"Please note this message may contain information that some may find upsetting. 
 On 08-05-2022 23:56:00, a robbery occurred at The old Tolman Hall area. 
 Two UC Berkeley students were victims of a robbery. They were walking through the old Tolman Hall area (north side of campus). In the process of the two victim UC Berkeley students walking through UC Berkeley campus they were stopped by two suspects (1 female and 1 male) that possessed a gun and a Taser. The female suspect constantly arced the Taser to scare the two UC Berkeley students into giving the suspects their IPhone 12 and student ID.",Violent Crime Reported at The old Tolman Hall area - Please note this message may contain information that some may find upsetting.,"Aug 06, 2022 02:03:04 PDT",Timely Warning ,Robbery,None,Radius / Area,Reconstructed Scenario,none,"Gender, No Race","Gender, No Race",Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race",Radius / Area,Reconstructed Scenario,none,none,"Gender, No Race",Radius / Area,Memorable detail,none,"No Race, Gender Neutral","Gender, No Race"
